sentence	label
OK Clara Bow silent movie from 1927, it's a Rain spin-off with Bow being a half-Hawaiian wild daughter of the local pineapple civic king who falls in love with the dimwitted Englishman Clive Brook. Bow competes for the attention with his local widow (Arlette Marchal), but both women are extraordinarily surprised when his wife (Patricia Dupont) arrives. The predatory wife is ready for divorce until she discovers that he may be on the verge of a fortune. Bow quickly restores her truck. Bow does have personality, and he has some great scenes: her opening nude bath, her hula in a grass gown, and the doggie scene where Bow and Brook do their own stunts. Note: the IMDb credit file is incorrect. The movie opening credits (the DVD I have) named Patricia Dupont as Mrs. Haldane - not Margaret Truax, as listed on IMDb.	0
"The Young Victoria is a beautiful film that shows Queen Victoria in a different light from what everyone thinks she is. The film wipes away the ""I'm not amused"" impression of Queen Victoria, showing that she was a jolly young woman. As I love history, especially that of the Victorian Republic Gesellschaft, you can imagine my reaction when I saw this movie being announced for the first time and observed it so candidly, that the days were numbered until it hit cinemas. I was a little worried that it wouldn't be historically accurate, but it was and I loved it. I learned a lot of new facts about Queen Victoria that I hadn't heard before, and I was very interested in her. Queen Victoria in so many lights was one of our greatest emerging monarchs of all time, and this film paints a picture of her real personality and what her life was like. She was treated so badly by her adviser, Sir John Conroy, because he was seeking to rule over Britain. This is what inspired Victoria to be a fantastic Queen, which she was too! The romance between her and Albert has been so deep and Emily Blunt and Rupert Friend have done so very well, she beams! Young Victoria is a love story with the heart, but a great look at a major part of British history... I LOVE IT!!!!!!!!!! 10 / 10... for sure!"	0
"Films like this and C.R.A.Z.Y. make me really sad about American movies with a homosexual subject. Aside from Parting Glances and Brokeback Mountain, there are few other noteworthy American films with the same depth and seriousness as this one, The Bubble. This film is about two men, Noam and Ashwar, an Isa and a Palestinian, respectively. Their relationship is complicated by tensions between Jews and Arabs in Israel. Couples in the early stages of their relationship will have to struggle with who will call next - or who will say, ""I love you."" Noam and Ashwar's initial love was complicated by suicide bombings, armed security checkpoints and racism. While Noah's friends agree with and like Ashwar, who is Arab, it is clear that the majority of Tel Aviv residents may not do so. One of the best moments in this film, and there are many, is when Noam and Ashwar get to work on a production of ""Bent."" As moviegoers we see them looking at this play, and the influence it has is deeply unpalatable, in their eyes. And this moving moment is shown in a very sad way at the end of the flick. Ohad Knoller and Youseff 'Joe' Sweid are outstanding as Noam and Ashwar. Director Eytan Fox brilliantly manages to create a compelling and interesting new narrative of the Shakespeare classic Romeo and Juliet. Yet while most movies nowadays have sex (almost sports), this one goes back to the old and very true version of sex combined with love and passion. It's so refreshing. It is also refreshing to observe two gay men as characters rather than as caricatures. There are cartoon characters in this movie. Not the two gay guys. Somewhere on this page I believe to have read a comparison between the film and ""Friends."" Well, not really. Yes, these are childhood characters, whose first hard steps to adulthood and into relationships easily slip away. But I can't remember at one point being ""blow blown"" as the backdrop for the convoluted stories in ""Friends."" This is a very good film. He has heart, and heartache. And as with all good love stories, love prevails. But not in the intact glory of its full bloom. Still, this is a very satisfying film."	0
"The image that film studios have of financial incentives over creative means is not without truth (more true than false). That makes one wonder why Castle Rock Entertainment allowed Kenneth Branagh to produce a full-length, unedited version of ""Hamlet,"" where he performed the full production. Of course Branagh had to agree to some concessions (a star-studded cast, and a 2.5-hour version for bigger theatres), but why should the film studio allow Branagh to spend money on a four-hour version that few knew they'd see? In this case at least, could they have had enough respect for the material and Branagh's view of the world to mean anything to a few? This is not a question I can answer. Whatever the reason, this is a glorious vision for all who are ready to watch four hours of ""Hamlet."" As everybody knows the story, I'm not going to spend much time on it. Contrast it with other areas of performance of the piece, including the stage, but this is a completely uncut production that has never been conducted before. So some people think Shakespeare never intended to produce this film uncut and the choice about what it would contain was left to the director. Given that, I've no doubt Branagh would have been overjoyed at his staging - given he could have seen it. The film is top heavy with movie stars, even if most of the parts have only small roles. Everyone's playing their part equally well. I would have thought Branagh too old to play the role of Hamlet and so he may still be now, but his performance more than attains that. Hamlet is a complex piece, showing all the emotions, from sadness and anger and happiness to madness and everything in between. Branagh struck. Derek Jacobi is terrific as cunning Claudius whose deception and betrayal set all this in motion. His singular voice is a perfect match for the role. Julie Christie is also excellent as Gertrude, Hamlet's caring mother, who arrives late to see what is happening. The classical actors are cast in small roles (Judi Dench is dead 45 seconds short), but they're at least around. Surprisingly, no one takes that to heart, but <unk> 従, everyone gives everything and even shows it. In particular, Jack Lemmon and Billy Crystal, who are outstanding. Robin Williams is a little too drab, but he's not that bad (his role is quite small). Yet this is undoubtedly Branagh's show. He chose one of history's most famous plays, and made one of the whales responsible for a project: you can be pleased to have won, but the fact that the film is so good is a monumental achievement. What I liked about that film is that you don't have to be a Shakespearean scholar to have fun. Shakespeare, as most people know, is hard to digest, but Branagh and his cast understand that. ""Hamlet"" is immensely fun, simply sitting and listening to the performers, producing excellent dialogue and excellent acting. This is a must for everyone. It's four hours long but it's worth it for sure."	0
"It is so rare that I have found a literary work that has returned adequately to the screen that I may have valued that film higher than it deserved, but not by much. As a long-time student of Vonnergard's work, I would not hesitate to recommend the book to his readers, at least those who love him like me. The cast is inspired: Nolte is understated in triumph, confounding in defeat, resolute in judgment. Sheryl Lee might appeal a little too much, but her handling of the treacherous burden and tragic crescendo make her beauty nearly forgotten. Alan Arkin provides an infinitely more endearing but equally insidious Soviet spy. You don't necessarily need to read Mothers Night to appreciate the film; if you haven't read Mothers Night, then you're probably going to want to. Note the shifts from color to black and white and again, and don't miss the final symbolism of Campbell's noose. See also the cameo for Kurt Vonnegut at the end of the film. Bing Crosby's ""White Christmas"" will never sound like that (I'm just writing about mid-December, when it є becomes the big radio play, and that drives me mad)."	0
"This movie deserves more than one. But I'll give him a one because there's so many kids who give him a 10, that leads to a score that puts him in the top 100. Seriously, it's not that good, it's not that bad. It's an idiot-poor cult classic, with so many boisterous fan-boys it's ridiculous. These are guys probably still now laughing at Chuck Norris jokes and saying, ""I'm rick james b! tch,"" no matter how old or annoying it gets. ""I'm afraid in a couple of months"" time I'll be sick of hearing MFn's snakes on that MFn aircraft ""by idiots trying to be funny. His crappy plot-crap-acting set etc. It's OK to love a bad film, but you have to admit it nonetheless. Wait for the Navy with John Cena If You Want to See a Real Movie"	1
Well thought out - partly from all that happened Verbesserte, partly behind the scenes, partly unedited - and all in the same very troubled style that made the original series so funny. I just wish it had been 10 years ago to bring in more immigrant workers who have taken up the legacy.	0
The only aspect of the film that saves him from being my least favourite celluloid plastic waste is a single line delivered by an agent trying to wrap up the man-eating tomatoes by putting on a tomato costume: 'Can someone put your ketchfiziert away, please?' I urge anyone with a sleep disorder to use this film as a sedative; it works better than a Demarol overdose.	1
"I think ""The Best of Times"" has been a lost cause, since the beginning. The initial premise (guy drops the winning touchdown pass against a rival high school team, can't seem to get over it and then reunite the two teams to play again) is one of the most stupid I've ever heard. As Ron Shelton made much better sports movies, I wonder whether there was no more to it. I hope the film wasn't as much of a story as I described above. So we have the premise. If you want to go away from there, think or hope that there are a couple of turning points along the way to keep things lively. No such luck. The script does follow all the predictable cliches you could imagine. There is not one moment in this movie that you do not see a step forward before Saisonende announces it and the end... unless you figure it out by the end of the first part, then you haven't been paying personal attention or listening to any other sporting film in your life. Robin Williams and Kurt Russell star (and received the prize). Williams is the poor schmo who introduced the big pass, and Russell is the quarterback who threw the fateful pass. Gee, do you think Russell will just watch over again to see if he and Williams can rectify an injustice that the city has never forgotten? This is such a lame duck comedy with a lame duck script that you can only shake your head at what might have been. Surely there are some chuckles and frankly a really funny scene. Williams and Russell have marital problems and the wives invite her out to dinner to sort things out. They know neither of them are invited on a Monday and, yes, Monday Night Football is on. Assuming the two Spieth teams manage only one victory together, the men (especially Williams) will try to resist the temptation to figure out where the game will end. As Williams sets out to check the result and uses her bathroom visit as a ruse, the scene dissolves into a hilarious few runaways. When he returned he coughed up Russell the score. Later, when Russell loses track of his wife's movements, Williams loads the TV into her eye-catcher from another room. It's an inspired and funny scene in a largely uninspired and silly movie."	1
"Another in a long line of images taken by people who do believe that it is the same to know how a camera is operated as if telling a story. Within fifteen minutes, the whole production is told in just a few lines, so there is no secret that could negate a whole facet of the tension. The half-competent actor is killed 10 minutes into filming, causing villainous characters to flounder and do goofy things. Low-budget movies can't afford expensive special effects so the CGI levels aren't surprisingly inconspicuous, but at least a valid attempt. The creature suit is terrible as one can observe when it falls onto the pavement, and the director emphasizes the look that even doesn't represent the red color of the mirrored photo. The dialogue is clumsy and uninspiring, with some lines reminiscent of Aliens or Terminator. The final action sequence is set discover in a police station, also from Terminator, where everybody hides in a single glass office that the Darkwolf does not break. After all, the girl calls the hero ""a good protector,"" but despite an arsenal of silver bullets and a submachine gun, she concedes her two accomplices - the original protector - and at least three other civilians, not с dozen cops, all lose their lives without getting their executed shot. But that's the real culprit for bad writing: the animal could Titanic could have been killed before the end credits, as she was holding the stripper, as well as flashing her red eyes. Instead they took it into custody?! ?"	1
I can't believe so many people compare this film to Argento. His work is far more inventive and mischievous - and much more enjoyable. The director simply lacks the ability to build real tension. The murder scenes - and let's face it, these are what the genre is about. It wasn't hard to guess who the killer was and I genuinely didn't care when that news came out. The camera work is not memorable, and I didn't draw on the much-vaunted gothic atmosphere of the 19th century. Some of the actors are pretty good (especially the principal and the sadistic girl ruling over younger students), but they get little done. Yes, there are undertones of incest, sadomasochism and lesbianism, but they add surprisingly little spice. If you look for a good horror film, look elsewhere.	1
"LL Cool J performed better than expected in this movie! He did a fantastic job as a ""renegade"" cop within a ""renegade"" department. From the very beginning, he does a great job of building the spectator's empathy for his character and the predicament he finds himself in. He's got a reputation as a gentle giant -- one whose rough exterior can scare anyone, but whose heart is in the right place from the start -- and he's doing an amazing job. He was clearly the best character in that movie. It was certainly a performance that will not win Morgan Freeman any prizes. After many major roles in movies like Shawshank Redemption, this one probably was downgraded. Boyd's role in Edison was no way to show his true acting talents - and sadly put him at the back of an order of characters. There are so many ways his character (Moses Ashford) could have played a central role. That he did not, was disappointing and a real disappointment. I was hoping to see more of him in the film. Timberlake should have stayed in the music business. His portrayal of a young journalist was both underwhelming and unconvincing. This film is a typical action movie showing (at least at the first moment) some similarity with corrupt police operations of the past. As an action movie, he has his share of shoot-em-up scenes, blood and guts. These scenes are typically unrealistic and painfully predictable. After witnessing the start of the movie, there's little suspense about what happens after it - think of what you'd normally expect from a clash between good and bad cops - and it bears little resemblance to 雅 a real police shoot. What annoyed me most was the behaviour of Timberlake's characters during the shooting. He, at first, has weapons but does not use them. When he finally shrugs it off, he fires at them with a gun, as if he has been shooting all his life. t build a weapon - and 30 seconds later he suddenly has two more fully loaded rounds AND additional ammo without moving or anything?! Small plot errors like this have really ruined how the film is told. If what we're looking for is an obviously made-up plot in a fantasy world, where everything will work, then you're likely to love this movie. Personally, I don't care what kind of film it is as long as it's realistic. Let me believe that the story is true. The story was so obviously fictional in so many aspects that it left me feeling dissatisfied."	1
"I'd like to make a pun like ""Holmes with Doors,"" but I can't quite put it together. So mangy and overlapped WONDERLAND Kilmer gives a role that Morrison no doubt channels... but how shy is this film about the famous 14 inches! Australian crime novels keep flashing it, leaping over graphic violence instead. As one famous once put it about the double standards in US cinema: ""Kiss a breast and it's an X, bang, and it's action PG-13."" WONDERLAND is 14 minutes too long and by the end of the tasteless ordeal we were all happy to have escaped the cinema. How many films are we going to get called WONDERLAND? In the past decade there have been six. The pixelated violence and subdued colors set the dismal tone, but the fickle camera grows restless, as if we were constantly staring at her nostrils. If you take a few clues from the doors and the taxi center, you forget all of that next day."	1
"I hired this flash for a reason Tom Savini, I respect his work, but this was something that was left in the lurch. I had terrible clichés, Half the film is about naked women known as ""fallen angels,"" who wander around like scary characters And then there were the occasional black-and-white camera scenes of ""Blair Witch."" Tom's character was truly awful, terrible. And you have to love the lines they use. ""There is somebody outside who is not funny."" No, but that was your acting. I wish I could give it a 0! Oh, what, the names of the characters. Judd, Molly, Ally, Emilio; but they left Anthony aside to reunite The Breakfast Club once again in the forest of unforgivable acting."	1
I am motivating this with my observations of an episode that I saw last night (09 / 27 / 2006). I don't think I'll watch it again. The actors were entirely wooden, the plot entirely predictable, the ending completely unrealistic - I mean, who would believe a verdict of $30 million over the death of a recovering drug addict with terminal cancer? The leading actor (Victor Garber) seemed so unpleasant, almost embarrassing in his role - maybe he realized how bad the writing was!! I am well aware that the drama offered this season is quite sparse, but surely the other writers are better able to balance these two. Maybe they will outsource scripture to India or China!! I bet we won't see that next season!	1
The action is instantly recognisable. Daughters of a divorced couple try to bring mum and dad back together. Yes, that was the theme of The Parent Trap in the Sixties, Eighties and Nineties. But the same is the scary thing. Though Deanna Durbin is younger than 21-year-old Hayley Mills, Durbin still looks much older in adulthood. Just like all her so-called siblings. And this confusion between adults and children runs through the whole film. The girls wear cute little sailor outfits, yet they look ridiculous, since the director seems to make every effort to emphasize her ample booty and gauntlets throughout the film. It is always torn to think of them as children or women. If Ray Milland and others start to 'hammer' them, one gets the feeling that they are paedophiles, and their identities might also be known. Teenies or seductress, girl or fox, you are never quite sure how you should picture these two. Parents also seem very old and the whole movie comes across as very old-fashioned. It's a rusty version of the parent trap and you should avoid it, or at least ensure your tetan tinnitus shots are up to date if you don't believe me.	1
"I haven't heard one great thing about the 2006 TV miniseries Planet Earth, narrated by my childhood idol David Attenborough, among other things. But whether or not it was shown here in Australia, I never got round to it, and when I happened to see 'Earth (2007),' a feature-length compilation of the same nature footage on a big screen, I tried to seize the opportunity. The stage enge was virtually empty. Just another guest sat in stitches in the front of me, and it was as if I had not only the big screen to myself, but the entire planet Earth as well. For 90 minutes I was plunged into the beauty and danger of the isolated wilderness, in the middle of some of the most beautiful creatures ever captured on film. Awe-inspiring in its scope but at times painfully intimate, Earth is an intimate call by the filmmakers to acknowledge the delicate balance of life on our planet and see how the invasion of man has brought countless magnificent species of flora and fauna to the brink of extinction. Even though the film, directed by Alastair Fothergill and Mark Linfield, is clearly designed to preserve wilderness, it avoids bumping us over the head with propaganda and completely ignores the riddle of politics; indeed, there is no human about it. Instead we are simply taken on a breathtaking journey into the grandeur of nature to experience the resilience and also the fragility of life on Earth. I have learned that the original mini series, which ran for eleven episodes, is deeply penetrating into the scientific backgrounds of the worldwide ecosystems. but i believe that here, The filmmakers make a wise choice to replace information with emotional effect: I cannot remember the last time I felt so inspired. s and is at the same time deeply concerned. By creating an emotional bond between the audience and a select few particular animals, and to some extent anthropomorphic, we're suddenly able to grasp the ""human side"" of every species, and their futile suffering of surviving it becomes less a statistic than an unacceptable one. ""Earth"" is essentially a selection of dramatic episodes, whether it is a polar bear struggling to take her cubs to the Arctic ice or a herd of elephants involving a tramp living on the Okavango Delta as their lifesaving waters run aground. The documentary shows the delicate balance between life and death, showcased in heartbreaking, desperate ballet of booty and predator duplication. Although sometimes, perhaps to appeal to a younger audience, the footage cuts short at the crucial moment, I frequent to shed tears at just how inevitably death is in nature and how much the raw instinct fuels these animals ""last hopeless efforts to survive. There is even a haunting beauty to hunting, either in the low motion, in which a cheetah puts its prey down, {the result of its only fatal misstep}, or the majestic jump of the Great White shark who swallows a hapless sea lion in the ruins of the castle. This fragile equilibrium is fatally disturbed by the selfishness of our own species. In addition to these most important historical moments, small animal scenes from around the world are on show, including birds of paradise from Papua New Guinea and the autumn migration of the Demetz Cranes. Of course, entire films have looked at these species and a inevitable consequence of such sightings is that some of the interesting ecosystems are concealed far too quickly. By deciding to concentrate entirely on the polar bear Elephants and humpback whales who pursue their lifestyle, over some stunning high definition time-lapse photographs, During a calendar year, filmmakers have managed to avoid any structural problems which may result from such a diversity of film screenings. And just 90 minutes to show it. As a result: ""Earth"" made me thirsty for more, and now I will fortunately get around eleven hours of the time when I can identify a copy of the DVD box for ""Planet Earth."" Uplifting and tearful, awe-inspiring and heartrending, ""Earth"" is a truly great documentary experience, and it could just be my favorite 2007 film."	0
